married / was married,couple,any relation,respondent gender,couple gender,interracial couple,respondent age,partner age,education gap,couple salary gap,couple political stability,meeting interface,try app service,relation duration [year],relation quality
1.0,1.0,,1,0,,2,4.0,0.0,1,4.0,3.0,,13.33,2
1.0,1.0,,0,0,,2,2.0,0.0,1,5.0,1.0,1.0,13.17,3
0.0,0.0,1.0,1,0,,5,5.0,4.0,2,3.0,,,12.58,
,1.0,,1,0,,0,1.0,0.0,4,5.0,4.0,,1.25,1
1.0,1.0,,0,0,,3,2.0,4.0,1,6.0,,,10.33,1
1.0,1.0,,1,0,,4,4.0,0.0,3,6.0,3.0,,32.0,1
1.0,1.0,,1,0,,1,2.0,0.0,3,6.0,,,6.08,1
1.0,0.0,1.0,1,0,,6,6.0,1.0,3,4.0,4.0,,,
1.0,1.0,,1,0,,5,4.0,3.0,3,5.0,,,28.67,1
0.0,0.0,1.0,0,0,,2,2.0,0.0,2,4.0,4.0,,1.58,
1.0,1.0,,1,0,,5,5.0,0.0,3,6.0,,,34.5,1
1.0,1.0,,0,0,,5,6.0,2.0,4,4.0,1.0,1.0,36.42,3
1.0,1.0,,0,0,,6,6.0,1.0,4,4.0,4.0,,52.5,1
,1.0,,0,0,,1,1.0,1.0,1,2.0,,1.0,5.08,1
0.0,0.0,1.0,0,1,,3,3.0,3.0,1,5.0,1.0,,1.08,
1.0,1.0,,0,0,,3,3.0,0.0,1,2.0,3.0,1.0,21.58,3
1.0,1.0,,1,0,,5,6.0,0.0,2,5.0,3.0,,49.08,1
,1.0,,0,1,,5,5.0,1.0,3,6.0,3.0,,47.75,2
1.0,1.0,,1,0,,2,2.0,0.0,1,4.0,3.0,,9.83,2
1.0,1.0,,0,0,,5,4.0,0.0,3,4.0,,,11.92,1
,1.0,,1,0,,1,1.0,2.0,3,4.0,4.0,,6.42,1
1.0,1.0,,0,0,,5,5.0,0.0,1,4.0,4.0,,41.5,2
1.0,1.0,,1,0,,4,4.0,0.0,2,5.0,,,22.92,2
1.0,1.0,,1,0,,3,3.0,2.0,1,5.0,3.0,,16.92,1
,1.0,,0,1,,3,3.0,4.0,3,6.0,0.0,,13.5,1
0.0,0.0,1.0,1,0,,5,6.0,0.0,3,3.0,0.0,,0.33,
1.0,1.0,,0,0,,6,6.0,2.0,2,5.0,3.0,,,4
1.0,1.0,,1,0,,3,4.0,1.0,2,4.0,0.0,,3.67,1
1.0,1.0,,1,0,,5,6.0,1.0,4,4.0,3.0,,44.42,2
1.0,1.0,,0,0,,5,5.0,3.0,1,5.0,1.0,,49.58,2
1.0,1.0,,0,0,,2,2.0,1.0,1,6.0,3.0,,15.0,1
1.0,1.0,,0,0,,5,5.0,0.0,3,6.0,3.0,,47.5,1
1.0,1.0,,0,0,,6,6.0,0.0,1,6.0,4.0,,53.08,2
1.0,1.0,,1,0,,3,3.0,0.0,3,3.0,4.0,,24.42,2
1.0,1.0,,1,0,,3,3.0,1.0,1,5.0,3.0,,14.25,3
1.0,1.0,,0,0,,3,3.0,0.0,1,5.0,,1.0,41.5,1
,1.0,,1,0,,4,3.0,5.5,3,4.0,0.0,,1.25,1
,1.0,,0,0,,1,1.0,0.0,3,4.0,,1.0,0.25,2
,1.0,,1,2,,3,2.0,4.0,1,0.0,3.0,,6.67,2
1.0,1.0,,1,0,,5,5.0,1.0,2,3.0,3.0,,42.0,1
,1.0,,0,1,,4,1.0,1.0,1,5.0,0.0,1.0,7.25,2
1.0,1.0,,0,0,,5,5.0,4.0,2,6.0,4.0,,51.75,1
0.0,0.0,1.0,0,1,,6,7.0,2.0,3,4.0,,,24.92,
1.0,0.0,1.0,1,0,,5,6.0,0.0,2,5.0,,,,
0.0,0.0,1.0,0,0,,1,1.0,1.0,3,5.0,,,0.75,
1.0,1.0,,0,0,,7,7.0,7.0,1,6.0,3.0,,,1
0.0,0.0,1.0,0,0,,1,1.0,4.0,4,4.0,4.0,,0.33,
1.0,1.0,,0,0,,7,6.0,2.0,4,6.0,4.0,,55.75,1
1.0,1.0,,0,0,,3,3.0,0.0,1,6.0,1.0,,16.25,1
1.0,1.0,,1,0,,3,3.0,0.0,3,4.0,1.0,,10.25,2
1.0,1.0,,1,0,,1,1.0,1.0,2,6.0,1.0,,7.75,1
1.0,1.0,,0,0,,6,6.0,1.0,1,5.0,,,59.0,1
0.0,0.0,1.0,0,0,,4,4.0,0.0,2,5.0,1.0,,0.92,
,0.0,0.0,1,,,2,,,,,,,,
1.0,1.0,,0,0,,5,5.0,0.0,1,6.0,,,45.17,1
1.0,1.0,,1,0,,5,5.0,1.0,3,2.0,,,34.92,2
1.0,1.0,,0,0,,5,4.0,0.0,3,4.0,3.0,,42.08,1
1.0,1.0,,0,0,,2,3.0,3.0,1,5.0,1.0,,10.25,3
1.0,1.0,,1,0,,4,5.0,0.0,1,6.0,,,25.67,1
0.0,0.0,1.0,0,0,,3,3.0,0.0,1,6.0,4.0,,1.08,
0.0,0.0,1.0,1,0,,5,5.0,2.0,1,5.0,1.0,,1.92,
0.0,0.0,1.0,1,0,,1,2.0,3.0,1,5.0,0.0,1.0,0.67,
1.0,1.0,,1,0,,4,5.0,1.0,1,2.0,5.0,,21.42,1
1.0,1.0,,0,0,,5,6.0,0.0,4,5.0,4.0,,51.75,1
1.0,1.0,,0,0,,6,5.0,0.0,3,5.0,,,41.67,1
,0.0,0.0,1,,,1,,,,,,,,
,1.0,,1,0,,1,1.0,2.0,3,6.0,4.0,,1.83,1
1.0,1.0,,1,0,,3,4.0,1.0,3,6.0,0.0,,3.08,1
,1.0,,1,0,,1,2.0,4.0,2,1.0,3.0,,6.08,1
1.0,0.0,1.0,1,0,,6,6.0,4.0,3,4.0,2.0,,,
1.0,1.0,,0,0,,2,2.0,4.0,3,5.0,0.0,,12.25,1
1.0,1.0,,0,0,,5,5.0,4.0,3,4.0,1.0,,,1
1.0,1.0,,1,0,,2,3.0,1.0,3,5.0,,,13.25,2
,1.0,,1,2,,5,3.0,3.0,2,5.0,,,5.0,1
1.0,0.0,1.0,1,0,,5,5.0,0.0,1,6.0,3.0,,,
1.0,1.0,,1,0,,4,5.0,0.0,1,5.0,3.0,,40.83,2
0.0,0.0,1.0,0,0,,1,1.0,1.0,3,1.0,,1.0,0.92,
1.0,1.0,,0,0,,4,4.0,2.0,1,6.0,4.0,,39.83,1
,1.0,,1,0,,2,3.0,1.0,2,5.0,,,0.17,2
,1.0,,0,0,,5,2.0,0.0,1,5.0,,1.0,,2
1.0,1.0,,1,0,,1,2.0,0.0,1,4.0,3.0,1.0,8.17,5
1.0,1.0,,1,0,,4,4.0,0.0,1,5.0,1.0,,40.17,2
1.0,1.0,,1,0,,4,5.0,3.0,3,6.0,1.0,,14.92,3
,0.0,0.0,0,,,1,,,,,,,,
1.0,1.0,,1,0,,3,4.0,1.0,3,6.0,,,17.33,1
,1.0,,0,0,,4,4.0,3.0,1,4.0,1.0,,0.58,1
1.0,1.0,,0,0,,3,3.0,5.0,2,5.0,,,20.08,1
1.0,1.0,,0,0,,4,4.0,0.0,2,4.0,,,24.33,1
1.0,1.0,,1,0,,2,2.0,0.0,3,4.0,,,8.67,1
1.0,1.0,,0,0,,1,1.0,3.0,1,5.0,3.0,,10.0,1
1.0,1.0,,0,0,,5,5.0,0.0,4,2.0,2.0,,47.17,1
1.0,1.0,,1,0,,3,4.0,2.0,2,4.0,3.0,,25.92,1
1.0,1.0,,0,0,,7,5.0,5.0,3,6.0,,,29.83,1
1.0,1.0,,1,0,,4,4.0,3.0,3,6.0,4.0,,28.17,1
1.0,1.0,,1,0,,2,2.0,0.0,3,5.0,4.0,,20.67,1
1.0,1.0,,1,0,,2,2.0,3.0,3,5.0,3.0,,7.25,2
1.0,1.0,,1,0,,5,5.0,3.0,1,3.0,3.0,,32.42,2
1.0,1.0,,0,0,,6,4.0,1.0,1,4.0,5.0,,21.42,1
1.0,1.0,,0,0,,2,2.0,0.0,1,6.0,1.0,,9.92,1
1.0,0.0,1.0,0,0,,4,4.0,0.0,1,4.0,1.0,,,
1.0,1.0,,0,1,,5,5.0,0.0,1,6.0,2.0,,26.08,1
,1.0,,1,0,,5,5.0,6.5,4,4.0,1.0,,11.25,1
1.0,1.0,,0,0,,4,4.0,2.0,1,4.0,3.0,,,2
0.0,0.0,1.0,1,2,,2,1.0,1.0,2,5.0,0.0,,3.33,
,1.0,,1,0,,1,1.0,0.0,3,4.0,4.0,,6.83,2
1.0,1.0,,1,0,,5,5.0,0.0,2,4.0,4.0,,41.67,1
1.0,1.0,,1,0,,2,2.0,0.0,3,4.0,3.0,,12.83,2
1.0,1.0,,1,2,,4,4.0,0.0,2,4.0,,,39.0,1
1.0,1.0,,0,0,,6,6.0,1.0,2,6.0,3.0,,24.92,1
1.0,0.0,1.0,1,0,,7,6.0,12.0,1,5.0,1.0,,,
1.0,1.0,,0,0,,1,2.0,4.0,3,5.0,1.0,,4.08,1
1.0,1.0,,1,0,,6,6.0,0.0,3,4.0,3.0,,56.5,1
0.0,0.0,1.0,1,2,,1,1.0,4.0,2,6.0,1.0,1.0,0.17,
,1.0,,1,0,,7,4.0,0.0,3,5.0,2.0,,,2
